State1,BidenF,TrumpF,F_Spread,State,BidenA,TrumpA,A_Spread,BidenA1,TrumpA1,Population,Senator1,Pic1,StateR1,Party1,Class1,Address1,Phone1,Contact1,Senator2,StateR2,Party2,Class2,Address2,Phone2,Contact2
Alaska,43.51%,51.00%,-7.4907,AK,33.50%,62.10%,-28.6,0.335,0.621,"731,545",Lisa Murkowski (R) Class III,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/95px,AK,R,Class III,522 Hart Senate Office Building Washington DC 20510,(202) 224-6665,Contact: www.murkowski.senate.gov/public/index.cfm/contact,Dan Sullivan (R) Class II,AK,R,Class II,302 Hart Senate Office Building Washington DC 20510,(202) 224-3004,Contact: www.sullivan.senate.gov/contact/email
Alabama,37.78%,57.36%,-19.5793,AL,36.40%,62.50%,-26.1,0.364,0.625,"4,903,185",RichardC. Shelby (R) Class III,,AL,R,Class III,304 Russell Senate Office Building Washington DC 20510,(202) 224-5744,Contact: www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,Tommy Tuberville (R) Class II,AL,R,Class II,B40A Dirksen Senate Office Building Washington DC 20510,(202) 224-4124,Contact: www.tuberville.senate.gov
Arkansas,36.21%,58.39%,-22.1838,AR,34.60%,62.60%,-28,0.346,0.626,"3,017,825",John Boozman (R) Class III,,AR,R,Class III,141 Hart Senate Office Building Washington DC 20510,(202) 224-4843,Contact: www.boozman.senate.gov/public/index.cfm/contact,Tom Cotton (R) Class II,AR,R,Class II,326 Russell Senate Office Building Washington DC 20510,(202) 224-2353,Contact: www.cotton.senate.gov/contact/contact-tom
Arizona,48.72%,46.11%,2.6116,AZ,49.50%,49.00%,0.5,0.495,0.49,"7,278,717",Mark Kelly (D) Class III,,AZ,D,Class III,B40B Dirksen Senate Office Building Washington DC 20510,(202)-224-2235,Contact: www.kelly.senate.gov,Kyrsten Sinema (D) Class I,AZ,D,Class I,317 Hart Senate Office Building Washington DC 20510,(202) 224-4521,Contact: www.sinema.senate.gov/contact-kyrsten
California,61.63%,32.29%,29.3439,CA,64.60%,33.40%,31.2,0.646,0.334,"39,512,223",Dianne Feinstein (D) Class I,,CA,D,Class I,331 Hart Senate Office Building Washington DC 20510,(202) 224-3841,Contact: www.feinstein.senate.gov/public/index.cfm/e-mail-me,Alex Padilla (D) Class III,CA,D,Class III,B03 Russell Senate Office Building Washington DC 20510,(202) 224-3553,Contact: www.padilla.senate.gov
Colorado,53.63%,41.00%,12.6246,CO,55.30%,42.10%,13.2,0.553,0.421,"5,758,736",MichaelF. Bennet (D) Class III,,CO,D,Class III,261 Russell Senate Office Building Washington DC 20510,(202) 224-5852,Contact: www.bennet.senate.gov/public/index.cfm/contact,JohnW. Hickenlooper (D) Class II,CO,D,Class II,B85 Russell Senate Office Building Washington DC 20510,(202) 224-5941,Contact: www.hickenlooper.senate.gov
Connecticut,58.39%,31.96%,26.4303,CT,58.10%,40.40%,17.7,0.581,0.404,"3,565,287",Richard Blumenthal (D) Class III,,CT,D,Class III,706 Hart Senate Office Building Washington DC 20510,(202) 224-2823,Contact: www.blumenthal.senate.gov/contact/,Christopher Murphy (D) Class I,CT,D,Class I,136 Hart Senate Office Building Washington DC 20510,(202) 224-4041,Contact: www.murphy.senate.gov/contact
District of Columbia,90.74%,5.64%,85.1019,DC,93.30%,5.20%,88.1,0.933,0.052,"705,749",NOREP (NO) NO,,DC,NO,NO,NO,NO,NO,NO (NO) NO,DC,NO,NO,NO,NO,NO
Delaware,58.70%,34.09%,24.6051,DE,58.80%,39.80%,19,0.588,0.398,"973,764",ThomasR. Carper (D) Class I,,DE,D,Class I,513 Hart Senate Office Building Washington DC 20510,(202) 224-2441,Contact: www.carper.senate.gov/public/index.cfm/email-senator-carper,ChristopherA. Coons (D) Class II,DE,D,Class II,218 Russell Senate Office Building Washington DC 20510,(202) 224-5042,Contact: www.coons.senate.gov/contact
Florida,49.09%,46.68%,2.4106,FL,47.90%,51.20%,-3.3,0.479,0.512,"21,477,737",Marco Rubio (R) Class III,,FL,R,Class III,284 Russell Senate Office Building Washington DC 20510,(202) 224-3041,Contact: www.rubio.senate.gov/public/index.cfm/contact,Rick Scott (R) Class I,FL,R,Class I,716 Hart Senate Office Building Washington DC 20510,(202) 224-5274,Contact: www.rickscott.senate.gov/contact_rick
Georgia,48.57%,47.33%,1.2463,GA,49.50%,49.30%,0.2,0.495,0.493,"10,617,423",Jon Ossoff (D ) Class II,,GA,D ,Class II,825 B&C Hart Senate Office Building Washington DC 20510,(202) 224-3521,Contact: www.ossoff.senate.gov,RaphaelG. Warnock (D) Class III,GA,D,Class III,B40D Dirksen Senate Office Building Washington DC 20510,(202) 224-3643,Contact: www.warnock.senate.gov
Hawaii,64.28%,29.20%,35.0746,HI,63.70%,34.30%,29.4,0.637,0.343,"1,415,872",MazieK. Hirono (D ) Class I,,HI,D ,Class I,109 Hart Senate Office Building Washington DC 20510,(202) 224-6361,Contact: www.hirono.senate.gov/contact,Brian Schatz (D) Class III,HI,D,Class III,722 Hart Senate Office Building Washington DC 20510,(202) 224-3934,Contact: www.schatz.senate.gov/contact
Iowa,46.31%,47.63%,-1.3223,IA,45.00%,53.20%,-8.2,0.45,0.532,"3,155,070",Joni Ernst (R) Class II,,IA,R,Class II,730 Hart Senate Office Building Washington DC 20510,(202) 224-3254,Contact: www.ernst.senate.gov/public/index.cfm/contact,Chuck Grassley (R) Class III,IA,R,Class III,135 Hart Senate Office Building Washington DC 20510,(202) 224-3744,Contact: www.grassley.senate.gov/contact
Idaho,38.27%,56.15%,-17.8799,ID,33.10%,63.90%,-30.8,0.331,0.639,"1,787,065",Mike Crapo (R) Class III,,ID,R,Class III,239 Dirksen Senate Office Building Washington DC 20510,(202) 224-6142,Contact: www.crapo.senate.gov/contact,JamesE. Risch (R) Class II,ID,R,Class II,483 Russell Senate Office Building Washington DC 20510,(202) 224-2752,Contact: www.risch.senate.gov/public/index.cfm?p=Email
Illinois,55.00%,39.01%,15.9942,IL,55.80%,42.30%,13.5,0.558,0.423,"12,671,821",Tammy Duckworth (D) Class III,,IL,D,Class III,524 Hart Senate Office Building Washington DC 20510,(202) 224-2854,Contact: www.duckworth.senate.gov/content/contact-senator,RichardJ. Durbin (D) Class II,IL,D,Class II,711 Hart Senate Office Building Washington DC 20510,(202) 224-2152,Contact: www.durbin.senate.gov/contact/
Indiana,42.03%,52.81%,-10.7877,IN,41.00%,57.10%,-16.1,0.41,0.571,"6,732,219",Mike Braun (R) Class I,,IN,R,Class I,374 Russell Senate Office Building Washington DC 20510,(202) 224-4814,Contact: www.braun.senate.gov/contact-mike,Todd Young (R) Class III,IN,R,Class III,185 Dirksen Senate Office Building Washington DC 20510,(202) 224-5623,Contact: www.young.senate.gov/contact
Kansas,40.90%,53.80%,-12.9032,KS,41.30%,56.50%,-15.2,0.413,0.565,"2,913,314",Roger Marshall (R ) Class II,,KS,R ,Class II,B33 Russell Senate Office Building Washington DC 20510,(202) 224-4774,Contact: www.marshall.senate.gov,Jerry Moran (R) Class III,KS,R,Class III,521 Dirksen Senate Office Building Washington DC 20510,(202) 224-6521,Contact: www.moran.senate.gov/public/index.cfm/e-mail-jerry
Kentucky,39.74%,55.46%,-15.7262,KY,36.20%,62.10%,-25.9,0.362,0.621,"4,467,673",Mitch McConnell (R) Class II,,KY,R,Class II,317 Russell Senate Office Building Washington DC 20510,(202) 224-2541,Contact: www.mcconnell.senate.gov/public/index.cfm?p=contact,Rand Paul (R) Class III,KY,R,Class III,167 Russell Senate Office Building Washington DC 20510,(202) 224-4343,Contact: www.paul.senate.gov/connect/email-rand
Louisiana,37.01%,57.52%,-20.5131,LA,39.80%,58.50%,-18.7,0.398,0.585,"4,648,794",Bill Cassidy (R) Class II,,LA,R,Class II,520 Hart Senate Office Building Washington DC 20510,(202) 224-5824,Contact: www.cassidy.senate.gov/contact,John Kennedy (R) Class III,LA,R,Class III,416 Russell Senate Office Building Washington DC 20510,(202) 224-4623,Contact: www.kennedy.senate.gov/public/email-me
Massachusetts,64.36%,28.56%,35.8016,MA,65.60%,32.60%,33,0.656,0.326,"6,949,503",EdwardJ. Markey (D) Class II,,MA,D,Class II,255 Dirksen Senate Office Building Washington DC 20510,(202) 224-2742,Contact: www.markey.senate.gov/contact,Elizabeth Warren (D) Class I,MA,D,Class I,309 Hart Senate Office Building Washington DC 20510,(202) 224-4543,Contact: www.warren.senate.gov/?p=email_senator
Maryland,63.02%,31.55%,31.469,MD,63.60%,34.60%,29,0.636,0.346,"6,045,680",BenjaminL. Cardin (D) Class I,,MD,D,Class I,509 Hart Senate Office Building Washington DC 20510,(202) 224-4524,Contact: www.cardin.senate.gov/contact/,Chris VanHollen (D) Class III,MD,D,Class III,110 Hart Senate Office Building Washington DC 20510,(202) 224-4654,Contact: www.vanhollen.senate.gov/contact/email
Maine,53.32%,40.34%,12.9711,ME,52.90%,44.20%,8.7,0.529,0.442,"1,344,212",SusanM. Collins (R) Class II,,ME,R,Class II,413 Dirksen Senate Office Building Washington DC 20510,(202) 224-2523,Contact: www.collins.senate.gov/contact,AngusS.Jr. King (I) Class I,ME,I,Class I,133 Hart Senate Office Building Washington DC 20510,(202) 224-5344,Contact: www.king.senate.gov/contact
Michigan,51.18%,43.21%,7.9723,MI,50.60%,47.90%,2.7,0.506,0.479,"9,986,857",GaryC. Peters (D) Class II,,MI,D,Class II,724 Hart Senate Office Building Washington DC 20510,(202) 224-6221,Contact: www.peters.senate.gov/contact/email-gary,Debbie Stabenow (D) Class I,MI,D,Class I,731 Hart Senate Office Building Washington DC 20510,(202) 224-4822,Contact: www.stabenow.senate.gov/contact
Minnesota,51.87%,42.64%,9.2335,MN,52.60%,45.40%,7.2,0.526,0.454,"5,639,632",Amy Klobuchar (D) Class I,,MN,D,Class I,425 Dirksen Senate Office Building Washington DC 20510,(202) 224-3244,Contact: www.klobuchar.senate.gov/public/index.cfm/contact,Tina Smith (D) Class II,MN,D,Class II,720 Hart Senate Office Building Washington DC 20510,(202) 224-5641,Contact: www.smith.senate.gov/contact-tina
Missouri,43.60%,51.48%,-7.8753,MO,41.30%,56.90%,-15.6,0.413,0.569,"6,137,428",Roy Blunt (R) Class III,,MO,R,Class III,260 Russell Senate Office Building Washington DC 20510,(202) 224-5721,Contact: www.blunt.senate.gov/public/index.cfm/contact-roy,Josh Hawley (R) Class I,MO,R,Class I,212 Russell Senate Office Building Washington DC 20510,(202) 224-6154,Contact: www.hawley.senate.gov/contact-senator-hawley
Mississippi,39.49%,55.40%,-15.9066,MS,38.80%,59.70%,-20.9,0.388,0.597,"2,976,149",Smith Cindy Hyde (R) Class II,,MS,R,Class II,702 Hart Senate Office Building Washington DC 20510,(202) 224-5054,Contact: www.hydesmith.senate.gov/content/contact-senator,RogerF. Wicker (R) Class I,MS,R,Class I,555 Dirksen Senate Office Building Washington DC 20510,(202) 224-6253,Contact: www.wicker.senate.gov/public/index.cfm/contact
Montana,45.34%,49.75%,-4.4033,MT,40.60%,56.90%,-16.3,0.406,0.569,"1,068,778",Steve Daines (R) Class II,,MT,R,Class II,320 Hart Senate Office Building Washington DC 20510,(202) 224-2651,Contact: www.daines.senate.gov/connect/email-steve,Jon Tester (D) Class I,MT,D,Class I,311 Hart Senate Office Building Washington DC 20510,(202) 224-2644,Contact: www.tester.senate.gov/?p=email_senator
North Carolina,48.91%,47.13%,1.7795,NC,48.70%,50.10%,-1.4,0.487,0.501,"10,488,084",Richard Burr (R) Class III,,NC,R,Class III,217 Russell Senate Office Building Washington DC 20510,(202) 224-3154,Contact: www.burr.senate.gov/contact/email,Thom Tillis (R) Class II,NC,R,Class II,113 Dirksen Senate Office Building Washington DC 20510,(202) 224-6342,Contact: www.tillis.senate.gov/public/index.cfm/email-me
North Dakota,38.58%,55.63%,-17.0441,ND,31.90%,65.50%,-33.6,0.319,0.655,"762,062",Kevin Cramer (R) Class I,,ND,R,Class I,400 Russell Senate Office Building Washington DC 20510,(202) 224-2043,Contact: www.cramer.senate.gov/contact/contact-kevin,John Hoeven (R) Class III,ND,R,Class III,338 Russell Senate Office Building Washington DC 20510,(202) 224-2551,Contact: www.hoeven.senate.gov/public/index.cfm/email-the-senator
Nebraska,42.39%,51.75%,-9.3584,NE,39.20%,58.60%,-19.4,0.392,0.586,"1,934,408",Deb Fischer (R) Class I,,NE,R,Class I,454 Russell Senate Office Building Washington DC 20510,(202) 224-6551,Contact: www.fischer.senate.gov/public/index.cfm/contact,Ben Sasse (R) Class II,NE,R,Class II,107 Russell Senate Office Building Washington DC 20510,(202) 224-4224,Contact: www.sasse.senate.gov/public/index.cfm/email-ben
New Hampshire,53.90%,42.79%,11.1158,NH,52.80%,45.60%,7.2,0.528,0.456,"1,359,711",MargaretWood Hassan (D) Class III,,NH,D,Class III,324 Hart Senate Office Building Washington DC 20510,(202) 224-3324,Contact: www.hassan.senate.gov/content/contact-senator,Jeanne Shaheen (D) Class II,NH,D,Class II,506 Hart Senate Office Building Washington DC 20510,(202) 224-2841,Contact: www.shaheen.senate.gov/contact/contact-jeanne
New Jersey,58.35%,37.88%,20.4705,NJ,58.70%,40.10%,18.6,0.587,0.401,"8,882,190",CoryA. Booker (D) Class II,,NJ,D,Class II,717 Hart Senate Office Building Washington DC 20510,(202) 224-3224,Contact: www.booker.senate.gov/?p=contact,Robert Menendez (D) Class I,NJ,D,Class I,528 Hart Senate Office Building Washington DC 20510,(202) 224-4744,Contact: www.menendez.senate.gov/contact
New Mexico,53.82%,41.84%,11.9752,NM,54.20%,43.60%,10.6,0.542,0.436,"2,096,829",Martin Heinrich (D) Class I,,NM,D,Class I,303 Hart Senate Office Building Washington DC 20510,(202) 224-5521,Contact: www.heinrich.senate.gov/contact,BenRay Luján (D) Class II,NM,D,Class II,B40C Dirksen Senate Office Building Washington DC 20510,(202) 224-6621,Contact: www.lujan.senate.gov
Nevada,49.62%,44.33%,5.294,NV,50.20%,47.60%,2.6,0.502,0.476,"3,080,156",Catherine CortezMasto (D) Class III,,NV,D,Class III,516 Hart Senate Office Building Washington DC 20510,(202) 224-3542,Contact: www.cortezmasto.senate.gov/contact,Jacky Rosen (D) Class I,NV,D,Class I,144 Russell Senate Office Building Washington DC 20510,(202) 224-6244,Contact: www.rosen.senate.gov/contact_jacky
New York,62.21%,32.77%,29.4377,NY,55.70%,43.00%,12.7,0.557,0.43,"19,453,561",KirstenE. Gillibrand (D) Class I,,NY,D,Class I,478 Russell Senate Office Building Washington DC 20510,(202) 224-4451,Contact: www.gillibrand.senate.gov/contact/email-me,CharlesE. Schumer (D) Class III,NY,D,Class III,322 Hart Senate Office Building Washington DC 20510,(202) 224-6542,Contact: www.schumer.senate.gov/contact/email-chuck
Ohio,46.77%,47.51%,-0.744,OH,45.20%,53.40%,-8.2,0.452,0.534,"11,689,100",Sherrod Brown (D) Class I,,OH,D,Class I,503 Hart Senate Office Building Washington DC 20510,(202) 224-2315,Contact: www.brown.senate.gov/contact/,Rob Portman (R) Class III,OH,R,Class III,448 Russell Senate Office Building Washington DC 20510,(202) 224-3353,Contact: www.portman.senate.gov/public/index.cfm/contact?p=contact...
Oklahoma,36.14%,58.79%,-22.6433,OK,32.30%,65.40%,-33.1,0.323,0.654,"3,956,971",JamesM. Inhofe (R) Class II,,OK,R,Class II,205 Russell Senate Office Building Washington DC 20510,(202) 224-4721,Contact: www.inhofe.senate.gov/contact,James Lankford (R) Class III,OK,R,Class III,316 Hart Senate Office Building Washington DC 20510,(202) 224-5754,Contact: www.lankford.senate.gov/contact/email
Oregon,58.61%,37.04%,21.5647,OR,57.00%,40.60%,16.4,0.57,0.406,"4,217,737",Jeff Merkley (D) Class II,,OR,D,Class II,531 Hart Senate Office Building Washington DC 20510,(202) 224-3753,Contact: www.merkley.senate.gov/contact/,Ron Wyden (D) Class III,OR,D,Class III,221 Dirksen Senate Office Building Washington DC 20510,(202) 224-5244,Contact: www.wyden.senate.gov/contact/
Pennsylvania,50.22%,45.57%,4.6478,PA,49.80%,49.10%,0.7,0.498,0.491,"12,801,989",RobertP.Jr. Casey (D) Class I,,PA,D,Class I,393 Russell Senate Office Building Washington DC 20510,(202) 224-6324,Contact: www.casey.senate.gov/contact/,PatrickJ. Toomey (R) Class III,PA,R,Class III,455 Dirksen Senate Office Building Washington DC 20510,(202) 224-4254,Contact: www.toomey.senate.gov/?p=contact
Rhode Island,62.89%,31.78%,31.1098,RI,59.40%,39.10%,20.3,0.594,0.391,"1,059,361",Jack Reed (D) Class II,,RI,D,Class II,728 Hart Senate Office Building Washington DC 20510,(202) 224-4642,Contact: www.reed.senate.gov/contact/,Sheldon Whitehouse (D) Class I,RI,D,Class I,530 Hart Senate Office Building Washington DC 20510,(202) 224-2921,Contact: www.whitehouse.senate.gov/contact/email-sheldon
South Carolina,44.50%,51.56%,-7.0568,SC,43.40%,55.10%,-11.7,0.434,0.551,"5,148,714",Lindsey Graham (R) Class II,,SC,R,Class II,290 Russell Senate Office Building Washington DC 20510,(202) 224-5972,Contact: www.lgraham.senate.gov/public/index.cfm/e-mail-senator-gr...,Tim Scott (R) Class III,SC,R,Class III,104 Hart Senate Office Building Washington DC 20510,(202) 224-6121,Contact: www.scott.senate.gov/contact/email-me
South Dakota,39.05%,54.18%,-15.1304,SD,35.60%,61.80%,-26.2,0.356,0.618,"884,659",Mike Rounds (R) Class II,,SD,R,Class II,502 Hart Senate Office Building Washington DC 20510,(202) 224-5842,Contact: www.rounds.senate.gov/contact/email-mike,John Thune (R) Class III,SD,R,Class III,511 Dirksen Senate Office Building Washington DC 20510,(202) 224-2321,Contact: www.thune.senate.gov/public/index.cfm/contact
Tennessee,40.99%,54.93%,-13.9419,TN,37.40%,60.70%,-23.3,0.374,0.607,"6,833,174",Marsha Blackburn (R) Class I,,TN,R,Class I,357 Dirksen Senate Office Building Washington DC 20510,(202) 224-3344,Contact: www.blackburn.senate.gov/email-me,Bill Hagerty (R) Class II,TN,R,Class II,B11 Russell Senate Office Building Washington DC 20510,(202) 224-4944,Contact: www.hagerty.senate.gov
Texas,47.47%,48.57%,-1.1047,TX,46.40%,52.20%,-5.8,0.464,0.522,"28,995,881",John Cornyn (R) Class II,,TX,R,Class II,517 Hart Senate Office Building Washington DC 20510,(202) 224-2934,Contact: www.cornyn.senate.gov/contact,Ted Cruz (R) Class I,TX,R,Class I,127A Russell Senate Office Building Washington DC 20510,(202) 224-5922,Contact: www.cruz.senate.gov/?p=form&id=16
Utah,42.09%,51.59%,-9.4996,UT,37.70%,58.40%,-20.7,0.377,0.584,"3,205,958",Mike Lee (R) Class III,,UT,R,Class III,361A Russell Senate Office Building Washington DC 20510,(202) 224-5444,Contact: www.lee.senate.gov/public/index.cfm/contact,Mitt Romney (R) Class I,UT,R,Class I,124 Russell Senate Office Building Washington DC 20510,(202) 224-5251,Contact: www.romney.senate.gov/contact-senator-romney
Virginia,53.74%,41.78%,11.9586,VA,54.10%,44.40%,9.7,0.541,0.444,"8,535,519",Tim Kaine (D) Class I,,VA,D,Class I,231 Russell Senate Office Building Washington DC 20510,(202) 224-4024,Contact: www.kaine.senate.gov/contact,MarkR. Warner (D) Class II,VA,D,Class II,703 Hart Senate Office Building Washington DC 20510,(202) 224-2023,Contact: www.warner.senate.gov/public/index.cfm?p=Contact
Vermont,66.37%,27.34%,39.031,VT,66.40%,30.80%,35.6,0.664,0.308,"623,989",PatrickJ. Leahy (D) Class III,,VT,D,Class III,437 Russell Senate Office Building Washington DC 20510,(202) 224-4242,Contact: www.leahy.senate.gov/contact/,Bernard Sanders (I) Class I,VT,I,Class I,332 Dirksen Senate Office Building Washington DC 20510,(202) 224-5141,Contact: www.sanders.senate.gov/contact/
Washington,59.34%,36.26%,23.0815,WA,58.80%,38.70%,20.1,0.588,0.387,"7,614,893",Maria Cantwell (D) Class I,,WA,D,Class I,511 Hart Senate Office Building Washington DC 20510,(202) 224-3441,Contact: www.cantwell.senate.gov/public/index.cfm/email-maria,Patty Murray (D) Class III,WA,D,Class III,154 Russell Senate Office Building Washington DC 20510,(202) 224-2621,Contact: www.murray.senate.gov/public/index.cfm/contactme
Wisconsin,52.13%,43.67%,8.4609,WI,49.60%,48.90%,0.7,0.496,0.489,"5,822,434",Tammy Baldwin (D) Class I,,WI,D,Class I,709 Hart Senate Office Building Washington DC 20510,(202) 224-5653,Contact: www.baldwin.senate.gov/feedback,Ron Johnson (R) Class III,WI,R,Class III,328 Hart Senate Office Building Washington DC 20510,(202) 224-5323,Contact: www.ronjohnson.senate.gov/public/index.cfm/email-the-sena...
West Virginia,33.49%,61.90%,-28.4046,WV,29.60%,68.70%,-39.1,0.296,0.687,"1,792,147",ShelleyMoore Capito (R) Class II,,WV,R,Class II,172 Russell Senate Office Building Washington DC 20510,(202) 224-6472,Contact: www.capito.senate.gov/contact/contact-shelley,JoeIII Manchin (D) Class I,WV,D,Class I,306 Hart Senate Office Building Washington DC 20510,(202) 224-3954,Contact: www.manchin.senate.gov/public/index.cfm/contact-form
Wyoming,30.81%,61.97%,-31.1594,WY,26.70%,70.40%,-43.7,0.267,0.704,"578,759",John Barrasso (R) Class I,,WY,R,Class I,307 Dirksen Senate Office Building Washington DC 20510,(202) 224-6441,Contact: www.barrasso.senate.gov/public/index.cfm/contact-form,CynthiaM. Lummis (R) Class II,WY,R,Class II,G12 Dirksen Senate Office Building Washington DC 20510,(202) 224-3424,Contact: www.lummis.senate.gov